sample_id,Depth_m
7884,24
7885,24
7886,24
7887,24
7888,24
7889,24
7890,24
7891,24
7892,24
7893,24
7894,24
7895,24
7896,24
7897,24
7898,24
7899,24
7900,24
7901,24
7902,24
7903,24
7904,24
7905,24
7906,24
7907,24
7908,24
7909,24
7910,24
7911,24
7912,24
7913,24
7914,24
7915,24
7916,24
7917,24
7918,24
7919,6.6
7920,6.6
7921,3
7922,3
7923,10
7924,10
7925,10
7926,10
7927,17
7928,17
7929,17
7930,17
7931,17
7932,1
7933,1
7934,1
7935,1
7936,1
7937,1
7938,9.5
7939,9.5
7940,9.5
7941,9.5
7942,9.5
7943,9.5
7944,9.5
7945,9.5
7946,9.5
7947,9.5
7948,9.5
7949,9.5
7950,9.5
7951,9.5
7952,9.5
7953,9.5
7954,1
7955,1
7957,1
7958,10
7959,10
7960,10
7961,10
7962,10
7964,10
7965,10
7966,10
7967,10
7968,10
7969,10
7970,10
7971,10
7972,10
7973,10
7974,10
7975,10
7976,10
7978,10
7979,10
7980,21
7982,21
7983,21
7984,21
7985,21
7986,21
7987,21
7988,21
7989,19.5
7990,19.5
7991,19.5
7992,19.5
7993,19.5
7994,19.5
7995,19.5
7996,19.5
7997,13.6
7998,13.6
7999,13.6
8000,13.6
8001,13.6
8002,13.6
8003,13.6
8004,13.6
8005,13.6
8006,13.6
8007,13.6
8008,13.6
8009,13.6
8010,13.6
8011,13.6
8012,13.6
8013,13.6
8014,13.6
8015,13.6
8016,13.6
8017,13.6
8018,13.6
8019,13.6
8020,13.6
8021,13.6
8022,13.6
8023,13.6
8024,1
8025,1
8026,1
8027,1
8028,1
8029,1
8030,1
8031,1
8032,1
8033,1
8034,1
8035,1
8036,1
8037,1
8038,1
8039,1
8040,1
8041,1
8042,1
8043,1
8044,1
8045,1
8046,1
8047,1
8048,1
8049,1
8055,1
8056,1
8057,1
8058,1
8059,16.9
8060,16.9
8061,15
8062,15
8063,13.6
8064,13.6
8065,13.6
8066,13.6
8067,13.6
8068,13.6
8069,16.9
8070,16.9
8071,16.9
8072,16.9
8073,16.9
8074,16.9
8075,16.9
8076,16.9
8077,16.9
8078,16.9
8079,16.9
8080,16.9
8081,16.9
8082,16.9
8083,16.9
8244,16.9
8245,16.9
8246,16.9
8247,16.9
8248,16.9
8249,16.9
8250,16.9
8251,16.9
8252,16.9
8253,16.9
